10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:41: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
10/11/2018 14:15:42: INFO = Processing Depth Data
