Date and Time,Speed,Angle,Command Message
08/02/2019 17:20:45,-5,0,RUN
08/02/2019 17:20:45,-4,0,RUN
08/02/2019 17:20:46,-2,0,RUN
08/02/2019 17:20:46,7,0,RUN
08/02/2019 17:20:46,8,0,RUN
08/02/2019 17:20:47,8,-35,RUN
08/02/2019 17:20:47,10,-39,RUN
08/02/2019 17:20:47,10,-46,RUN
08/02/2019 17:20:48,10,-56,RUN
08/02/2019 17:20:48,10,-56,RUN
08/02/2019 17:20:49,10,-45,RUN
08/02/2019 17:20:49,10,-45,RUN
08/02/2019 17:20:49,10,-45,RUN
08/02/2019 17:20:49,10,-62,RUN
08/02/2019 17:20:50,10,-70,RUN
08/02/2019 17:20:50,10,-70,RUN
08/02/2019 17:20:50,10,-83,RUN
08/02/2019 17:20:51,10,-83,RUN
08/02/2019 17:20:51,10,-72,RUN
08/02/2019 17:20:51,10,-72,RUN
08/02/2019 17:20:52,10,-62,RUN
08/02/2019 17:20:52,10,-45,RUN
08/02/2019 17:20:52,10,-35,RUN
08/02/2019 17:20:53,10,-35,RUN
08/02/2019 17:20:53,10,-35,RUN
08/02/2019 17:20:54,10,-35,RUN
08/02/2019 17:20:54,10,-35,RUN
08/02/2019 17:20:55,10,-35,RUN
08/02/2019 17:20:55,10,-35,RUN
08/02/2019 17:20:56,10,-35,RUN
08/02/2019 17:20:56,10,-35,RUN
08/02/2019 17:20:57,10,-35,RUN
08/02/2019 17:20:57,10,-35,RUN
08/02/2019 17:20:57,10,-35,RUN
08/02/2019 17:20:58,10,-35,RUN
08/02/2019 17:20:58,10,-44,RUN
08/02/2019 17:20:59,-1,-2,RUN
08/02/2019 17:21:00,0,-2,RUN
08/02/2019 17:21:00,5,-10,RUN
08/02/2019 17:21:00,7,-11,RUN
08/02/2019 17:21:01,8,-11,RUN
08/02/2019 17:21:01,10,-11,RUN
08/02/2019 17:21:02,10,-13,RUN
08/02/2019 17:21:02,10,-16,RUN
08/02/2019 17:21:02,10,-16,RUN
08/02/2019 17:21:03,10,-16,RUN
08/02/2019 17:21:03,10,-16,RUN
08/02/2019 17:21:04,10,-16,RUN
08/02/2019 17:21:04,10,-16,RUN
08/02/2019 17:21:04,10,-16,RUN
08/02/2019 17:21:05,10,-16,RUN
08/02/2019 17:21:05,10,-16,RUN
08/02/2019 17:21:06,10,-17,RUN
08/02/2019 17:21:06,10,-17,RUN
08/02/2019 17:21:07,10,-17,RUN
08/02/2019 17:21:07,10,-17,RUN
08/02/2019 17:21:08,10,-17,RUN
08/02/2019 17:21:08,10,-17,RUN
08/02/2019 17:21:09,-5,23,RUN
08/02/2019 17:21:09,-28,61,RUN
08/02/2019 17:21:11,-28,60,RUN
08/02/2019 17:21:11,-5,6,RUN
08/02/2019 17:21:12,-6,7,RUN
08/02/2019 17:21:13,-10,11,RUN
08/02/2019 17:21:13,-14,12,RUN
08/02/2019 17:21:14,-15,14,RUN
08/02/2019 17:21:15,-16,14,RUN
08/02/2019 17:21:15,-17,14,RUN
08/02/2019 17:21:16,-17,15,RUN
08/02/2019 17:21:16,-17,16,RUN
08/02/2019 17:21:17,-17,15,RUN
08/02/2019 17:21:18,-6,2,RUN
08/02/2019 17:21:18,-2,0,RUN
08/02/2019 17:21:18,-1,-1,RUN
08/02/2019 17:21:19,7,-12,RUN
08/02/2019 17:21:20,7,-14,RUN
08/02/2019 17:21:21,8,-15,RUN
08/02/2019 17:21:21,10,-34,RUN
08/02/2019 17:21:22,10,-62,RUN
